userId,movieId
1,5556
1,2902
2,217
2,456
3,68
3,39
4,75
4,65
5,64
5,118
6,229
6,69
7,109191
7,64
8,64
8,118
9,879
9,742
10,75
10,379
11,1515
11,379
12,64
12,118
13,217
13,65
14,1824
14,65
15,1681
15,393
16,64
16,118
17,43
17,30
18,1824
18,64
19,220
19,2841
20,2835
20,26792
21,2614
21,54
22,2093
22,126
23,217
23,809
24,64
24,1515
25,2665
25,2698
26,95
26,442
27,54
27,374
28,434
28,547
29,1515
29,1488
30,161918
30,2365
31,3393
31,4153
32,1993
32,2315
33,64
33,118
34,118
34,7
35,64
35,118
36,1047
36,8713
37,1881
37,6564
38,442
38,43
39,2087
39,8341
40,2363
40,65
41,1862
41,332
42,4635
42,64
43,1556
43,65
44,1515
44,130520
45,54
45,374
46,1515
46,479
47,118
47,8870
48,65
48,379
49,379
49,172
50,5448
50,4990
51,2392
51,879
52,2614
52,2525
53,118
53,64
54,250
54,1918
55,39
55,68
56,65
56,88
57,117
57,130520
58,64
58,65
59,379
59,172
60,61818
60,5313
61,2253
61,2044
62,393
62,379
63,27618
63,849
64,2665
64,64
65,479
65,23
66,4750
66,65
67,809
67,761
68,54
68,374
69,879
69,1128
70,227
70,423
71,149
71,118997
72,64
72,1515
73,442
73,2117
74,149
74,31
75,379
75,338
76,709
76,130520
77,1515
77,58783
78,217
78,79
79,3865
79,4102
80,1515
80,1385
81,434
81,95
82,1824
82,2051
83,1515
83,1327
84,64
84,65
85,65
85,19
86,8446
86,849
87,126
87,737
88,75
88,54
89,3035
89,150596
90,64
90,118
91,65
91,43
92,54
92,250
93,5841
93,809
94,1681
94,393
95,379
95,7454
96,95
96,43
97,809
97,761
98,156607
98,123553
99,1515
99,65
100,75
100,65
101,64
101,95
102,1515
102,240
103,101076
103,1128
104,809
104,761
105,64
105,118
106,156607
106,123553
107,442
107,95
108,64
108,118
109,3997
109,1515
110,54
110,250
111,64
111,118
112,64
112,118
113,879
113,742
114,5448
114,69526
115,53450
115,2149
116,2748
116,110127
117,2265
117,65
118,2338
118,1644
119,75
119,839
120,2092
120,118997
121,64
121,118
122,5456
122,379
123,156607
123,55259
124,2338
124,2902
125,64
125,118
126,65
126,2265
127,64
127,164367
128,6872
128,1389
129,5448
129,2338
130,996
130,95
131,2364
131,1320
132,61818
132,2338
133,479
133,996
134,2363
134,1515
135,54
135,374
136,4750
136,65
137,64
137,1910
138,240
138,190
139,76
139,4626
140,2748
140,809
141,64
141,65
142,2265
142,43
143,4899
143,118
144,1824
144,1430
145,64
145,65
146,1644
146,2902
147,1515
147,64
148,156607
148,55259
149,1009
149,76
150,118997
150,118
151,1824
151,1430
152,75
152,6264
153,4990
153,1587
154,479
154,95543
155,75
155,1551
156,64
156,118
157,6793
157,64
158,64
158,118
159,64
159,118
160,53125
160,3740
161,64
161,118
162,43
162,195
163,65
163,7
164,64
164,996
165,65
165,19
166,6872
166,1389
167,1824
167,64
168,64
168,1862
169,64
169,118
170,1515
170,1488
171,65
171,19
172,1881
172,479
173,1556
173,374
174,1515
174,1488
175,2661
175,2665
176,3997
176,64
177,340
177,59103
178,3997
178,3615
179,64
179,118
180,1515
180,1488
181,64
181,76
182,64
182,118
183,1862
183,332
184,742
184,1681
185,65
185,5448
186,3997
186,172
187,69526
187,849
188,64
188,195
189,55259
189,156607
190,3997
190,3705
191,6264
191,64
192,1515
192,1488
193,809
193,65
194,1430
194,1565
195,2748
195,809
196,3807
196,2427
197,1515
197,1385
198,64
198,118
199,64
199,118
200,126
200,2733
201,61818
201,64
202,1918
202,2273
203,5456
203,379
204,786
204,1385
205,6483
205,118997
206,19
206,118997
207,577
207,421
208,217
208,79
209,379
209,172
210,156607
210,55259
211,809
211,761
212,879
212,742
213,2338
213,879
214,3633
214,88
215,879
215,5456
216,1824
216,5448
217,76
217,541
218,2265
218,379
219,54
219,374
220,809
220,761
221,65
221,379
222,64
222,2392
223,879
223,65
224,50147
224,6615
225,2363
225,7900
226,737
226,879
227,123553
227,156607
228,1515
228,19
229,65
229,355
230,52
230,328
231,809
231,761
232,64
232,118
233,71
233,667
234,54
234,250
235,442
235,95
236,879
236,64
237,3997
237,65
238,577
238,1015
239,2338
239,1644
240,87
240,575
241,2488
241,2427
242,2586
242,1689
243,3997
243,374
244,849
244,1129
245,100
245,128
246,217
246,79
247,6483
247,46530
248,2665
248,2698
249,64
249,2338
250,65
250,95
251,379
251,172
252,69526
252,46530
253,195
253,69526
254,379
254,172
255,2896
255,39
256,58783
256,65
257,64
257,118
258,43
258,88140
259,1515
259,1488
260,195
260,3701
261,4899
261,43
262,64
262,68
263,64
263,2748
264,143255
264,103
265,737
265,6250
266,3269
266,58783
267,809
267,761
268,43
268,340
269,1515
269,1488
270,19
270,1430
271,2614
271,2525
272,442
272,3807
273,64
273,374
274,2902
274,1974
275,64
275,118
276,484
276,2092
277,2835
277,118997
278,879
278,742
279,1515
279,69526
280,26792
280,2720
281,118
281,1385
282,2265
282,2133
283,64
283,118
284,64
284,379
285,64
285,118
286,64
286,65
287,5103
287,6753
288,2338
288,65
289,64
289,118
290,64
290,879
291,2872
291,3807
292,64
292,1515
293,328
293,23
294,53125
294,3740
295,879
295,809
296,379
296,172
297,76
297,541
298,68
298,39
299,442
299,2427
300,64
300,118
301,2338
301,379
302,1556
302,64
303,220
303,65
304,2614
304,2525
305,69526
305,43
306,7
306,2525
307,7
307,68
308,68
308,7
309,79
309,40
310,3705
310,1918
311,52
311,39
312,2614
312,2525
313,130520
313,1306
314,379
314,423
315,65
315,6116
316,547
316,783
317,996
317,137
318,6483
318,23
319,5448
319,58783
320,1382
320,1667
321,1556
321,64
322,737
322,2365
323,2698
323,2665
324,75
324,149
325,64
325,118
326,65
326,1644
327,64
327,118
328,75
328,849
329,384
329,3701
330,1556
330,65
331,64
331,118
332,217
332,79
333,1126
333,2174
334,2338
334,1644
335,64
335,65
336,57951
336,2405
337,1824
337,217
338,2665
338,3354
339,879
339,742
340,479
340,23
341,65
341,19
342,1334
342,1376
343,64
343,149
344,118
344,1327
345,52
345,6530
346,65
346,2748
347,479
347,64
348,65
348,7454
349,2265
349,43
350,217
350,227
351,1644
351,742
352,1105
352,55259
353,64
353,118
354,1306
354,101076
355,126
355,2043
356,3997
356,65
357,64
357,118
358,1644
358,2902
359,842
359,6250
360,786
360,52
361,1681
361,217
362,1515
362,65
363,5448
363,379
364,71
364,1515
365,68
365,7
366,65
366,849
367,64
367,65
368,407
369,1556
369,7073
370,5672
370,69526
371,737
371,2365
372,217
372,79
373,4750
373,64
374,809
374,95
375,64
375,118
376,374
376,54
377,54
377,64
378,27618
378,58025
379,1556
379,65
380,5700
380,5638
381,123553
381,1327
382,2614
382,2525
383,64
383,879
384,1431
384,387
385,479
385,5804
386,76
386,541
387,1389
387,2392
388,374
388,87
389,1824
389,1515
390,1515
390,786
391,879
391,742
392,64
392,149
393,69526
393,379
394,100
394,709
395,3997
395,1881
396,71
396,251
397,54
397,87
398,64
398,118
399,2365
399,737
400,123553
400,156607
401,156607
401,55259
402,65
402,217
403,64
403,118
404,2363
404,1515
405,4412
405,5879
406,2338
406,3516
407,809
407,379
408,65
408,52950
409,64
409,879
410,64
410,4899
411,1881
411,19
412,54
412,374
413,64
413,118
414,64
414,250
415,64
415,65
416,118
416,7
417,809
417,761
418,95
418,434
419,1881
419,54
420,64
420,118
421,5456
421,64
422,2698
422,6793
423,849
423,1129
424,217
424,79
425,374
425,54
426,156607
426,55259
427,879
427,742
428,88
428,79139
429,64
429,118
430,3393
430,5448
431,76
431,53125
432,3997
432,340
433,257
433,2427
434,3716
434,442
435,3997
435,737
436,64
436,65
437,379
437,172
438,64
438,118
439,809
439,761
440,27008
440,75
441,64
441,65
442,2841
442,1465
443,379
443,69526
444,2265
444,135536
445,849
445,43
446,2363
446,379
447,1824
447,87
448,64
448,5638
449,118
449,7
450,2665
450,2698
451,1515
451,1488
452,61818
452,479
453,75
453,737
454,2338
454,1644
455,64
455,479
456,118
456,118997
457,1862
457,2365
458,118997
458,43
459,379
459,3807
460,1551
460,577
461,76
461,2427
462,1556
462,379
463,3997
463,59103
464,1824
464,172
465,434
465,442
466,64
466,118
467,5556
467,2389
468,479
468,2265
469,1382
469,1431
470,479
470,442
471,3997
471,379
472,1459
472,2717
473,118
473,65
474,1431
474,387
475,95543
475,442
476,1556
476,64
477,54
477,250
478,1047
478,407
479,65
479,69526
480,5456
480,879
481,2822
481,6527
482,109191
482,64
483,2902
483,1974
484,879
484,742
485,442
485,2427
486,479
486,2265
487,64
487,118
488,195
488,52
489,2902
489,1974
490,118
490,7
491,3997
491,64
492,1824
492,1910
493,1515
493,1488
494,379
494,172
495,879
495,742
496,95543
496,3654
497,55259
497,156607
498,65
498,19
499,19
499,91094
500,114554
500,2177
501,19
501,65
502,64
502,118
503,879
503,65
504,64
504,118
505,195
505,2363
506,68
506,3997
507,64
507,118
508,3807
508,18
509,54
509,64
510,76
510,52
511,879
511,126
512,126
512,65
513,64
513,879
514,54
514,879
515,5700
515,5638
516,64
516,5456
517,25962
517,18
518,2427
518,1584
519,64
519,75
520,65
520,88
521,1515
521,19
522,54
522,5448
523,8372
523,3990
524,379
524,998
525,65
525,19
526,64
526,118
527,75
527,156
528,2665
528,64
529,1824
529,809
530,1556
530,6564
531,64
531,65
532,479
532,40
533,2614
533,2525
534,5700
534,2665
535,68
535,39
536,64
536,1862
537,69526
537,65
538,64
538,118
